"Komentar","Kategori","",""
"@natalifell 😮","Netral","",""
"Beneran enak banget...","Positif","",""
"BUAT YG MATCHA DONG MIN🤓","Positif","",""
"@nightfairy97 iya bener... yg matcha enak bngt 😍😍","Positif","",""
"Min buat mcgriddle dong enak lohh","Positif","",""
"Akhirnya 😍 kurang yang versi 5Lt nihh pingin bangeddd🥲","Positif","",""
"@_okesya bri tiap hari selasa apa syarat nya ?","Netral","",""
"@dildoel_ baru nih, yuk kapan2 coba pas kamu lagi di rumah","Netral","",""
"McFlurry matcha adain lagi donk. Suka sekali ng rasa mFlurry matcha","Positif","",""
"Balikin mcflurry yg color surprise dong, itu enak bgt","Positif","",""
"halo min, semalem dibawain ini. ko rasanya lebih ke cappucino ya drpd ke thai tea?","Negatif","",""
"Kembalikan mcflurry green tea","Netral","",""
"Di gambar ice cream nya milk tea, kenyataannya cm dksh bubuk2 milk tea dan rasanya kayak kopi bkn kyk thai tea 😢","Negatif","",""
"Penipuan. Thai tea nya bubuk, bukan di blend ice cream","Negatif","",""
"Gue dulu pas kuliah di china rasa eskrimnya ena-enak, kenapa di indo gk ada rasa bunga sakura, rasa popcorn, rasa peach","Negatif","",""
"@yntrianti kan emg menunya jg tulisannya milk tea😅bukan thai tea hahahahah","Netral","",""
"@liesdahani target buat besok ,wkwkw","Positif","",""
"hmmmmm menarik","Positif","",""
"@andrenafilata maacih infonyaaa, siap meluncur nihhh🔥","Positif","",""
"Harganya berapa?","Netral","",""
"Wajib OTW 🛵","Positif","",""
"Balikin mcflurry matcha dong min pls","Netral","",""
"Enakkk lho gaes 🤤","Positif","",""
"@lukiyustian baru yangg","Positif","",""
"@febemeiga tydak boleh gigi ompong","Netral","",""
"@chestadb mau cobain gaa","Positif","",""
"Ini jelly ato bobba @mcdonaldsid ?","Netral","",""
"Matcha adain lg dong kak, 😢","Netral","",""
"Enak kaya nya ni","Positif","",""
"@liesdahani itu mah khusus peyci aja onti","Netral","",""
"Yuk gass @naluriasafitri 🤭","Positif","",""
"Gebrakan nya ada aja mekdii","Netral","",""
"Minn kembalikan menu nasi rica !!!","Netral","",""
"Ok tks kak","Netral","",""
"Nanti saya cobain","Netral","",""
"Plis soto tanpa kecap adalah surga 😂🥰","Positif","",""
"paling enak soto ayam caj har....yg di jalan merrrr cak 😁😁","Negatif","",""
"Soto Lamongan emang ga ada obat","Positif","",""
"tetap terbaik soto pak Yanto darmawangsa","Negatif","",""
"Hahahh sumpah ini enak bgt!! Langganan dr kecil klk sakit mesti makan soto ini jadi seger we, cuma bpke mencureng ae wkwk","Positif","",""
"wes tau mangan... pling enak soto ayam kapasan bro...","Positif","",""
"saya main"" kemana"" misal kalok pingin beli soto kalok gak soto Lamongan gak minat","Positif","",""
"HEMMM....MANTAP REK...SOTO AYAM LAMONGAN ,YG PALING ENAK","Positif","",""
"aku tim soto tanpa kecap 🥰","Positif","",""
"soto makanan kesukaan gua serlok bang😅😅","Positif","",""
"soto wenakkk pol tapi kudu sabarrr karna selalu uwantri 🤤🤤🤤","Positif","",""
"soto ayam paling enak menurut saya. soto ayam pak Sadi ambengan🥰","Negatif","",""
"tetep soto ayam pak sadi","Negatif","",""
"tetep bakso ,lek soto titik iwak e😁","Negatif","",""
"lumayan sih soto nya tapii gak lagiiii lagiiiii,keburu pinggsan nggu jualinya g tau kok lamaaa buanget pdhl ya g rame bgt pas ksna😂","Negatif","",""
"pernah makan di sini. tak disangka 2orang habis 50ribu tahun 2019. tepak korona apes apes. nasi soto 2 & es teh 2","Negatif","",""
"nunggu sejam makan 15 menit😂","Negatif","",""
"Iyoo emang enakk tapi lamaaa nunggu pesenan kita datang😌","Negatif","",""
"kok bisa sih makan soto ga pake kecap 😠","Negatif","",""
"biasanya bukan ayam kampung, tp ayam petelur yg udah afkir jadi daging nya alot mirip tekstur ayam kampung","Negatif","",""
"itu bukan ayam kampung ayam petelur","Negatif","",""
"mas itu bukan ayam kampung, itu ayam sotoan namanya, ayam kampung itu teksturnya putih keabuan dan alot","Negatif","",""
"Kebanyakkan ayam sotoan/ayam atos aku sj klo masak pake ayam kampung enak banget gurih 😋","Negatif","",""
"terlihat bukan ayam kampung😅","Negatif","",""
"ada lagi kak rame juga dekat pom bensin makan Rangkah pas belokan","Netral","",""
"template makanan unik food vlogger - ayam kampung (untuk makanan yg pake ayam) - pake arang","Netral","",""
"udah pernah mah gua disitu","Netral","",""
"lokasii parkire sebela endi seh kok kape nyobak ndalala aku bingung parkire","Netral","",""
"lokasi pas dimana bang","Netral","",""
"terlihat bukan ayam kampung ,ayam kampung ngk mudah di iris semudah itu","Negatif","",""
"bukan ayam kampung itu itu ayam petelur yg dah gak produktif rasanya emang kek ayam kampung kok 😁","Negatif","",""
"bang coba makan makanan khas Sulawesi Selatan (Coto Makassar/konro bakar)","Netral","",""
"Kog bisa orang makan soto ayam malem yaa ?? Aku tim soto ayam tuh yaa buat sarapan/ makan siang doang 😅😅","Netral","",""
"Hasto Hasto, Hasan Soto!!","Netral","",""
"cobak ke soto ayam lamongan cak Har bang lokasi di mer sukolilo jl. ir sukarno","Netral","",""
"dagingnya mirip ayam kampung😁 tp itu ayam merah. Ayam khas soto Lamongan di Surabaya.","Netral","",""
"klo soto plus kecap itu daerah kulon kyk Kediri itu lbh pas klo menurutku...","Netral","",""
"ng krian ae akeh wong dodol soto lamongan...rasane gak kalah mantul karo iku...koyane guuuriihhh murah pisan 12 ewu wareg😁","Netral","",""
"@shella_faseha soto gas","Positif","",""
"gua pernah keselek soto keluar nasi dari idung gua kira upil ternyata nasi🗿","Netral","",""
"soto koya??? baru Indomie soto koya yg aku pernah nyoba🤣","Netral","",""
"Ayam kampung??? 😂😂😂","Negatif","",""
"Enak an soto ayam kenari jln Simpang dukuh sebelahnya genteng bandar gang 2","Negatif","",""
"soto ayam tanpa kubis adalah soto rumahan mnurut saya","Netral","",""
"setahuku ayam lamongan tuh dmana2 pake mya ayam merah atau ayam petelur bukan ayam kampung","Netral","",""
"rasanya itu bukan ayam kampung dech 😁","Negatif","",""
"suda tau min tapi orang nya suka libur jualannya 😏","Netral","",""
"ini asli enak banget","Positif","",""
"itu ayam merah boss ayam peteluur","Negatif","",""
"baru upload min😁","Netral","",""
"ya","Netral","",""
"hanya org"" yg sabar bisa makan di situ tapi pancen uenak sumpah","Positif","",""
"😳😳😳","Positif","",""
"@io@","Netral","",""
"disby , di sda ke bykan ayam sotoan ayam merah","Netral","",""
"😋😋😋","Positif","",""
"ancen enak iki min tpi suwi antrine timbang maem e😂","Positif","",""
"Harga nya brp ya . di Bangil Pasuruan juga ada. semangkok sama minum nya 15rb","Netral","",""
"pertama ni min","Netral","",""
"😁😁😁","Netral","",""
"minnnn min . ... mimin...?.😂","Netral","",""
"😂😂😂nampaknya beda dti yg lain😅","Netral","",""
"🥰🥰🥰","Positif","",""
"Langganan ku dekat rmh ku 🥰","Positif","",""
"Salfok mata nya mimin cowo. Kaya kurang tidur atau bangun tidur. Semangaaaat mimin cewe dan cowo","Netral","",""
"Dmn ini","Netral","",""
"antrineeeeeee","Negatif","",""
"liat pas nuang kuah sama berapa kali dia nuang 😁","Netral","",""
"mau pake kecap kaga selera bang,","Negatif","",""
"ayam merah tuu bos","Netral","",""
"langgananq","Positif","",""
"tim bubur adukkk😂","Netral","",""
"mantap","Positif","",""
"😊wooo itu bagusss enjoy","Positif","",""
"mantaaappp","Positif","",""
"kak coba cari makanan yg murah di tangsel","Netral","",""
"satu Porsi nya berapa ' Mas","Netral","",""
"walah iki cedek kerjoan tp blassss gk tau mampir😅😅","Netral","",""
"klu juali lamaaaaa bngeett😏","Negatif","",""
"porsi, e gak cocok karo lambung ku terlalu sakipet😂😂😂","Negatif","",""
"sekali pernah nyobak Uda g berani ke sana lagi Krn antri nya g ketulungan😭","Negatif","",""
"jdi ngiler mas","Positif","",""
"pd g suka kecap🤣","Netral","",""
"yg jualan tetangga saya😁","Netral","",""
"Mantap","Positif","",""
"rame","Positif","",""
"masih sepi nih min","Netral","",""
"halo min","Netral","",""
"kok sepi","Negatif","",""
"masi sepi","Netral","",""
"dmn itu","Netral","",""
"gaskeun","Positif","",""
"Tetep cak pardi, murah meriah","Negatif","",""
"enak iki","Positif","",""
"Lokasi","Netral","",""
"mantap banget👍👍👍","Positif","",""
"😂😂😂😂","Netral","",""
"ok","Netral","",""
"spill tempat nya ...","Netral","",""
"Ancen enak bingit kataku pling enak se sby ya ini😁","Positif","",""
"😁🥰😂","Positif","",""
"🥰🥰🥰🥰🥰","Positif","",""
"pesen saiki mangane mene 😭","Netral","",""
"No Izy","Netral","",""
"bang aku tinggal disitu bg itu pernah makan disana","Netral","",""
"langganan dari bayi 😂","Positif","",""
"Iki langananku seko cilik,rong dino pisan aku mesti tuku.gak diragukan gaes uenakkk tenan","Positif","",""
"langganan ku sak kluwarga
 😅","Positif","",""
"enak polll,,,tp Piro Yo sak Iki,,,","Positif","",""
"share loc","Netral","",""
"daerah mana ini","Netral","",""
"cak har","Negatif","",""
"asli emng enak buangettt , mskipun lama sih tp enak bnget","Positif","",""
"wajib kecap lah kalau soto😂","Netral","",""
"sesuai selera sih menurutku...","Positif","",""
"langganan ku Ket cilik wkwk","Positif","",""
"buka tutup?","Netral","",""
"#lamonganpride","Positif","",""
"rekomendasi","Positif","",""
"nunggu nya lama 🥹 pdhl pas ksana ga seberapa rame 🥹🥹","Negatif","",""
"Lama itu pak,,,,","Negatif","",""
"langgananku iki rek🤭👍","Positif","",""
"a","Netral","",""
"Suwe pelayanane","Negatif","",""
"tonggoq","Netral","",""
"enak bgt itu, q mulai kecil smpk punya ank ttp uenak poolll","Positif","",""
"untuk kuliner kakilima harga mahal ga apa yg penting nasinya bagus","Positif","",""
"senengan e ibukku Iki min, cedek omah pisan😅","Positif","",""
"tiap mau beli muueesti antri Selak kaliren","Negatif","",""
"langganan ku bien iku","Positif","",""
"qt satu selera gk suka klo soto ayam diksh kecap manis","Positif","",""
"langganan mnga nk kunu aku cak wkwkkwkk....😅😅😅","Positif","",""
"Bukan ayam kampung itu😂","Negatif","",""
"langganan ku dari kecil","Positif","",""
"nunggu nya luamaaaa","Negatif","",""
"demen bet gw bgnian makanan ni hadehhhh","Positif","",""
"itu kaya bukan ayam kampung","Negatif","",""
"suwe ngenteni e selak kaliren nek tuku nak kene","Negatif","",""
"ini dimana, jl apa","Netral","",""
"pokoke soto lek gk lamongan yo suroboyo wenak😂","Negatif","",""
"tim gak suka pake koya","Negatif","",""
"spil harga yaaa kk","Netral","",""
"gk prnh jual","Negatif","",""
"lama jualin nya...","Negatif","",""
"soto mustajab waktu kecil langganan mulai dari jualan keliling dorong th '80 an","Positif","",""
"paling lemot","Negatif","",""
"itu soto mustajab langanan ku dulu","Positif","",""
"hhh dekat rumah ku , rumah ku tambah Arum gang 2","Netral","",""
"Soto ini mantap banget","Positif","",""
"😁😁😁","Positif","",""
"langgananku","Positif","",""
"👍👍👍♥️","Positif","",""
"knapa sama kecap?","Netral","",""
"jareku kok b aja seh,tau tuku minyake akeh maleh nek²en mari mangan😂","Negatif","",""
"🥰🥰🥰🥰","Positif","",""
"kalau ayam kampung nggk putih gitu dagingnya","Negatif","",""
"lebih enak yg dekat kuburan, lebih murah juga","Negatif","",""
"mo otw","Positif","",""
"👍","Positif","",""
"🤙🗿","Positif","",""
"tim Apapun msakn..gk suka kecap","Netral","",""
"😂😂","Positif","",""
"😋😋😋","Positif","",""
"semoga saya bisa punya business yg rame kayak gini","Netral","",""
"konco dewe reek","Netral","",""
"ayam merah bukan kmpung","Negatif","",""
"o dapat berapa 😭kamu posting ini..... tatap enak soto ny cak.harrrrr","Negatif","",""
"soto tampa kecap 🗿","Negatif","",""
"dikit bgt ayam nya","Negatif","",""
"halal ke","Netral","",""
"langganane sopo iki 😅😂😂 geleng2 @ayotsiiracoen_","Positif","",""
"@abidin ginting gak pengen ta😁","Positif","",""
"tonggomu iki @Anggi Darwanti","Netral","",""
"@sheeee @mas ayubb","Netral","",""
"@akadtsura 😳😳","Netral","",""
"🥰🥰🥰","Positif","",""
"😭😭😭","Negatif","",""
"😏😏😏😏😅","Netral","",""
"@kepo oooo ini lo","Positif","",""
"@felixx.mlbb mau","Positif","",""
"@♡ makan ini ta","Positif","",""
"@mamapang✨ gass😂😂","Positif","",""
"@hobby993 tonggoe mba","Netral","",""
"@Purba ayo senenganmu","Positif","",""
"@Nenk usy","Netral","",""
"spill lokasi nya kak @mimin_cowo","Netral","",""
"@imamendut gass","Positif","",""
"@bukanakang kang somay ganti profesi","Netral","",""
"knp y min klo orng Jatim GG doyan masakan manis,AQ orng Semarang Jateng yg identik klo msak gurih,manis ap lg klo mkan soto y hrs ada kecap klo semrng","Negatif","",""
"jdi ngiler@Suryani🌞🌻","Positif","",""
"ini enak deket humzz @PuspitaArjunLove","Positif","",""
"@I√an TOP5🐰 @Irvan H P","Netral","",""
"diapusi sampean berarti. Ayam kampung itu dagingnya agak coklat,😅😂","Negatif","",""
"petek Abang iku....guguk petek deso","Netral","",""
"Soto gedek","Negatif","",""
"uritan ada ngak","Netral","",""
"kudu sabar mangan Nang kene..enak ancene tiap kudu sabar Karo antri e😂😂😂","Positif","",""
"enak bnget","Positif","",""
"tombol soto + kecap 👉🏻","Netral","",""
"fokus karo endase seng dodol😅","Netral","",""
"ayam kampung? ga deh, gw ga suka ayam kampung cuk klo ayam yang biasa sih okee lhaa","Negatif","",""
"tu bukan ayam kampung brow tp ayam soto biasa... dan mahal pula... 🥺🥺🥺🥺🥺","Negatif","",""
"mantep","Positif","",""
"pasti enak klw di masak dgn arang","Positif","",""
"eemmm eennaaak... 😅😅","Positif","",""
"pokok seng dodol wong lamongan mesti enk😂","Positif","",""
"aku tau ituh","Netral","",""
"paling enaaaak sumpaaaaahhhhhh","Positif","",""
"weeenaaaakkkk","Positif","",""
"enk pke kecap","Positif","",""
"mantap","Positif","",""
"senenganku reek uwenake","Positif","",""
"koq tdk ada alamatnya betul itu ayam potong tuch daging nya putih gitu","Negatif","",""
"akhirnya masuk tiktok juga, tp kalo beli disini harus sabarrrrrrrrrrr antriiiiiiinyaaaaaa puoooollllll sampek ngantuk2 seng ngenteni😂😂😂😂😂😂","Positif","",""
"mantap wenaaaak,,","Positif","",""
"enak pooll iku, tp antrine g kuat","Positif","",""
"ra sumbut rasane karo antrine .. cukup pisan ae","Negatif","",""
"uenak ancen Iki","Positif","",""
"soto terrrr enk ni tp g kuat ngantri ya si 🤭","Positif","",""
"Soto Ayam Joni Gubeng Kertajaya","Negatif","",""
"enak banget","Positif","",""
"ngeliat aj bikin ngiler mind 😂😂","Positif","",""
"salam kenal @mimin_cowo ..
 Mampir yuk ke lapak kami di jombang jatim, depan polres jombang kota,
 Ak recommend in soto kami yg uenak bgt. Ditunggu kehadirannya y,","Netral","",""
"ga enak min. mahale tok😏","Negatif","",""
"bikin ngilerrrr 🥰🥰🥰","Positif","",""
"beuhh laris banget @ituGol_","Positif","",""
"@Soto Ayam CJDW Cak Nawir:monggo coba soto ayam cjdw cak nawir kak...koya ambil sendiri,ada toping keripik kentangnya dan free kerupuk putih ya.. 😍😍🤩","Netral","",""
"makanan yg enak murah hanya di jawa🙏klo di jakarta soto nasi harga nya 25rbu😇","Netral","",""
"kecap di soto itu merusak rasa aslinya","Negatif","",""
"iku petek ndog ndog an sanes kampung","Negatif","",""
"mata nya ngewry😬","Netral","",""
"Yo Iki soto ayam sing uweenakk, dari pada sing sebelah iku, larang gak enak sisan","Positif","",""
"nyuir ayamnya gk pake sarung tangan 😏","Negatif","",""
"buka jamber","Netral","",""
"ayam kampung,,, aku seng maem ayam kampus biasa ae😏","Netral","",""
"ngentenine suwe selak matek🤣","Negatif","",""
"tim gasuka koya☝🏽","Negatif","",""
"ayam merah","Negatif","",""
"klw mau beli kok mesti tutup ya","Negatif","",""
"kuliner srbya semua enak BBK gornya jg uenak,","Positif","",""
"dari pahanya itu bukan ayam kampung tpi ayam soto atau ayam petelur.","Negatif","",""
"ini baru makan soto yang bener, kecap merusak rasa aslinya😁","Positif","",""
"b ae","Negatif","",""
"itu ayam boiler ri..","Negatif","",""
"gak sudi beli , antri","Negatif","",""
"bkn ayam kmpung,
 tpi ayam petellor","Negatif","",""
"ayam petelur itu...yajin😂😂😂","Negatif","",""
"itu bukan ayam kampung tapi ayam pejantan","Negatif","",""
"ngilerr weh😭","Positif","",""
"infinix note 50 kapan rilis ??","Netral","",""
"hargaa???","Netral","",""
"mantap","Positif","",""
"itu layarnya amoled kah","Netral","",""
"kak mending infinix apa Vivo 🥰","Netral","",""
"masih bagus an oppo sih🗿🗿🗿🗿🗿🗿🗿🗿🗿","Negatif","",""
"Sayangnya masih 4G","Negatif","",""
"gamau lagi pake infinix terakhir note 40 HAHAHA! mending yg pasti2 aja harga nentuin kualitas juga sih😁","Negatif","",""
"yaellah baru juga beli gw infinix note 40 pro+ udeh nongol aje yg iniih.. 😂😂","Netral","",""
"harga murahan
 kualitas mahalan
 the kingfinix 😎","Positif","",""
"bagusan Samsung atau Vivo?","Netral","",""
"infinix gt20 pro dapet update android sampe brp?","Netral","",""
"100% pasti Mimin pake hp Infinix","Positif","",""
"pubg mobile smooth extrim kah?","Netral","",""
"anak minta beli hp,,,yg paling murah hp Infinix berapa ya harganya???","Netral","",""
"tumben bgt sound y 😭","Netral","",""
"min gua baru beli Infinix smart 8 plus 😅","Positif","",""
"iphone 16 ada?","Netral","",""
"Masih bagusan ip 6s gw 🤪","Negatif","",""
"itu 4g apa 5g networknya?","Netral","",""
"price","Netral","",""
"tolong fast charging nya 25 Watt yaa","Negatif","",""
"coba pake sound fufu Fafa","Netral","",""
"My favorite infinix brand shukriya","Positif","",""
"louncing 24 oktober besok hp nya keren tipis,3d curve 6,8mm helio g100 keren pokonnya hp nya","Positif","",""
"aelah baru beli infinix note 40","Negatif","",""
"gass kan minnn Infinix note 50 series nya😅","Positif","",""
"sumpah aku mesen Infinix note 40 pro udah 11 hari gak datang""","Negatif","",""
"aku infinix note 40s bagian samping pinggir nya retak gimana cara benerin nya🥲😭😭","Negatif","",""
"Indonesia infinix note 50 120hz????","Netral","",""
"apalah Infinix","Negatif","",""
"gue tebak mimin ga pake HP infinix😏","Positif","",""
"Kelemahan infinix batrenya cepat panas...","Negatif","",""
"infinix selalu menggempur pasar gadget ,
 ngiler liatnya 🤤","Positif","",""
"pasti hp nya Mimin bukan Infinix 🗿","Negatif","",""
"percayalah mimin Infinix pasti gak pake Infinix","Negatif","",""
"pencinta Infinix hadir hp sampe pecah masih dipake🥰🥰","Positif","",""
"tolong buat infinix camera ada 0.5 nya pliss","Negatif","",""
"di tunggu ada Infinix versi mewahnya+kamera bisa bersaing dengan hp lainnya","Positif","",""
"Infinix note 40 x 5g kapan rilis di indo?","Netral","",""
"infinix gua mau lu lebih awet lgi yah batrai nya","Negatif","",""
"Ditunggu.. HP infinix (seri Note, zero, dsb) dengan Varian Rom 512Gb min. Sebagai Xfans bertahun-tahun use Infinix, sangat diNanti-nanti (Gebrakan Ba","Positif","",""
"min lu 99% gak pake infinix ya","Negatif","",""
"100%yang beli infinix pasti menyesal","Negatif","",""
"min kok hp temen temen ku Infinix pada ke riset pada waktu yang bersamaan kira kira knp ya min?","Negatif","",""
"min pasti lu gk pake hp infinix🗿","Negatif","",""
"ini samsung kah","Netral","",""
"Gua yakin yg punya perusahaan infinix gak pake infinix😂","Negatif","",""
"min ada jual Samsung gak","Netral","",""
"nyari case/silikon hp yg variasi susah","Negatif","",""
"the real kingfinix🔥","Positif","",""
"layar nya kita akui top . bikin ketar ketir xiomi dan oppo +vivo 😁😁😁 harga 2jutaan dapet layar premium anjirr","Positif","",""
"min minta 30 JT buat beli pancing","Netral","",""
"tumben bener iklannya","Netral","",""
"kek gini dari dulu kek min design kameranyaa😭😭😭","Positif","",""
"wau..","Positif","",""
"bagus sih tapi masih mikir mau beli gk bisa mkan sebulan😅","Positif","",""
"harga y berapa y","Netral","",""
"setelah di update kenapa batrei cepat panas dan cepat habis? 😏","Negatif","",""
"di sini komen kaga di jwb di aku 1 lagi baru randome bgt tpi ""fek""😭🗿","Negatif","",""
"regone piro","Netral","",""
"aku udah terlanjur pakai infinik note 40 min😞","Negatif","",""
"min aku dah folow aku mau donk hp nya🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😳🥰🥰🥰","Positif","",""
"apalah min di bandingin Ama 500 perak berdiri 😏","Netral","",""
"regane Piro min?","Netral","",""
"bisa cod NDA","Netral","",""
"Gua yg kerja di pabriknya be like😁","Netral","",""
"epep trs game nya","Negatif","",""
"tumben bener iklanya😁","Netral","",""
"di akulaku blm ada ya😁","Netral","",""
"mantap","Positif","",""
"nice ♥️☺️☺️","Positif","",""
"komen pake note 30...dah ampir 1,5th..","Positif","",""
"Lumayan lah 2,5 keren","Positif","",""
"kedua","Netral","",""
"tidak untuk jangka panjang","Negatif","",""
"tumben desain kameranya gak besar besar lagi gak ngikutin iphone","Negatif","",""
"cuman 2 jutaan😭😭😭😭😭","Positif","",""
"how to buy?","Netral","",""
"nunggu zero 40 5G masuk Indonesia","Netral","",""
"cakepp bgt sumpah 🥰🥰🥰😍😍","Positif","",""
"Kyaknya mahal","Negatif","",""
"Hp Hongkong","Negatif","",""
"Bismillahirrahmanirrahim","Positif","",""
"Mantap","Positif","",""
"70k","Netral","",""
"price in Pakistan","Netral","",""
"Wow i want🔥🔥🔥🔥","Positif","",""
"tumben gua tertarik sama produk infinik😬","Positif","",""
"minus nya infinik gapernah ada 0,6 nya","Negatif","",""
"tukar sama yg lama min 😁","Positif","",""
"Zero 40, Zero Flip kapan lounching","Netral","",""
"aku kira Samsung 😅","Netral","",""
"ad yg tau hrgnya bos","Netral","",""
"nah cari pasar yg berbeda coba buat versi compacknya lebar 6,8cm","Netral","",""
"min bikin handpone compact lah","Negatif","",""
"jujur ngiler bgt tapi pgn liat review dulu dan agak takut ga cocok untuk jangka panjang","Netral","",""
"PUBG MOBILE smooth extrim kah?","Netral","",""
"ku tunggu versi note nya😅","Netral","",""
"kamera sdh ber-OIS & EIS belum ?!?","Netral","",""
"aku beli tp gratis member ya","Netral","",""
"ada lubang jack hs nya gk ya","Netral","",""
"𝐡𝐚𝐫𝐠𝐚","Netral","",""
"gass beli min","Positif","",""
"keranjang kuning","Positif","",""
"ada harga ada quality","Positif","",""
"manis di awal pait pas 1 tahun","Negatif","",""
"infiniku lemot wkwk","Negatif","",""
"kira vovi v40 lite tadi🤔","Netral","",""
"kamera sekilas mirip vivo v 40 lite","Netral","",""
"siippp","Positif","",""
"kapan liris?","Netral","",""
"dibawah 2 jt auto beli seh😂","Negatif","",""
"kereen","Positif","",""
"Apakah Kiblat HP sekarang VIVO ? 🤔","Negatif","",""
"minus di charger ny aja cuma l8 watt😢","Negatif","",""
"hp seribu masalah","Negatif","",""
"MANTAPPPP","Positif","",""
"spil hasil kamera video plis","Netral","",""
"kolab sama jkt48 lagih beuhh 😎🔥🔥🔥🔥","Positif","",""
"menunggu gt30pro","Netral","",""
"Menunggu Seri GT30 Pro","Netral","",""
"keren model kameranya","Positif","",""
"harga brp cuy kira2 dari speknya?","Netral","",""
"kamera nya ada ois gk nihh","Netral","",""
"kalo ada penstabil video, atau minimal EIS saya beli hp ini. desain nya cakep😁","Positif","",""
"Mimin pakai hp apa?","Netral","",""
"min,Mimin pakai hp apa?","Netral","",""
"cipshet apa itu","Netral","",""
"kamera nya apa aja ada 3?","Netral","",""
"tebak harga, 2.299k🗿","Negatif","",""
"di tunggu seri note nya","Positif","",""
"min minta 6jt buat beli hp tecno","Netral","",""
"harga berapa min ???
 Minggu depan saya panen cabe rawit .. kalau harga terjangkau untuk saya , bulan depan mau beli","Positif","",""
"Keren mantaaaaaaaaap","Positif","",""
"pertama☝🥇","Positif","",""
"aku seneng dengan layar amolednya infinix jernih puooolll , enak di pandang","Positif","",""
"Vivo V40 lite kena Copy 😂","Negatif","",""
"200 RB dapat gak min","Netral","",""
"kenapa ga ada ultra wide nya ????","Negatif","",""
"bagusan oppa atau Vivo?","Netral","",""
"gua beli Infinix smart 8,desain ny mewah bangett cokk🤩","Positif","",""
"aku pake Infinix smart 8 kalian apa ??","Netral","",""
"AKU MAU HP GRATISS","Netral","",""
"harga murah
 kualitas mahalan
 siapa lagi kalo bukan kingfinix😎","Positif","",""
"free fire juga ada di situ bah😁","Netral","",""
"tumben sound nya","Netral","",""
"min hp inpinik smart 8 pro gw kok sering nge freeze di layar??","Negatif","",""
"😁","Positif","",""
"🥰🥰","Positif","",""
"kapan min infinix zero 40 series rilis🗿","Netral","",""
"😁😁😁","Positif","",""
"🥰🥰🥰","Positif","",""
"❤❤❤","Positif","",""
"😁😁😁","Positif","",""
"🥰🥰🥰","Positif","",""
"@gadgetin review bang davidd 🥰🥰","Netral","",""
"2jt++","Netral","",""
"keinget @Infinix Official 🗿🗿🗿🗿🗿🗿","Negatif","",""
"😂😂😂","Positif","",""
"💙","Positif","",""
"mau dong","Positif","",""
"beliin dong min kan mimin ganteng","Positif","",""
"keren ni baru kamera belakang udh nyematin ultra wide.... gk kyk pendahulunya kamera gk guna di sematin buat apa.... and udh gk make bobaAlay lgi....","Positif","",""
"min aku dah folow aku mau ip donk🙃☠️👽💀💀💀💀💀💀💀💀💀💀💀💀☠️☠️☠️","Netral","",""
"mana ni Infinix gt ultra?
 dah ga ada kabar 🤣","Negatif","",""
"tumben ga ayo"" ganyang fufu fafa","Netral","",""
"kasih PC Ama tanda tangan dong min","Netral","",""
"kameranya aneh","Negatif","",""
"giveaway dong😁😁😁😁","Positif","",""
"Tolong bikin hp compack kayak appel. Yg buat dikantong jean saya.","Negatif","",""
":SARAN BUAT TEMAN TEMAN JAGAN BELI INFINIX GW UDH NGERASAIN BARU MAKAI INFINIX SMART 8. 5 BULAN UDAH GHOST TOUCH MENDING BELI HP OPPO GAK VIVO PLEASE SAYANGI UANG KALIAN CUKUP AKU YANG JADI KORBAN 😭","Negatif","",""
"hot 40 belum puas, belum rusak , belum bosan, udah nongol 50..dst..dst 😂. oh teknologi 😅","Negatif","",""
"min, kok hp infinix hot 20i susah banget ya di charge nya?. Padahal dari awal beli gapernah di mainin sambil charge.","Negatif","",""
"cakep sih, tapi mesin getarnya jelek😏","Negatif","",""
"Min jual batere infinix hot 10 yg ori ga? Hp aku baterenya kembung,udh d ganti malah d tipu d ksh yg kw, jd kembung smpe skrg blm d gnti lg,, takut dpt yg kw lg.","Negatif","",""
"Min kapan Infinix hot 40 dapat update android 😭😭","Negatif","",""
"kalok infinix hot 50pro keluar.berarti infinix hot40 pro turun harga???","Netral","",""
"mau tanya hot 40 pro 108mp
 hot 50 pro plus 50mp
 menurun dong kameranya?","Negatif","",""
"baru beli infinix hot 50i udah keluar lagi kakak nya coba sabar dulu ya bisa sya beli yg layar nya cruve tp ngomong2 berapa ya harga nya","Netral","",""
"no android update👎😵‍💫","Negatif","",""
"aku pengguna infinix banget😂 dari mulai smart 6,smart 8, hot 10,hot 30 i, skrng zero 30 baru setaun dah bnyak lg ngeluarin yg baru 😭🤣😂","Positif","",""
"infinix itu bagus di awal doang jelek di akhir","Negatif","",""
"bgus biar makin panas persaingan.jdi konsumen di untungkan .krna brend lama akan turun2 hrga ny jga😅","Positif","",""
"woi min Infinix hot 40 pro kapan Andro 14","Negatif","",""
"MIN AKU PENGGUNA INFINIX HOT 10 S","Positif","",""
"telat, udah beli Samsung A55 sama Oppo A3X","Negatif","",""
"tapi dari video itu kayaknya bukan hasil kamera Infinix😹😹😹","Negatif","",""
"lebih bagus seri note apa hot ?","Netral","",""
"hrg brp min","Netral","",""
"yg cocok untuk ngegame tapi harga 3 jutaan ada min","Netral","",""
